title,release_date,director,cast
Charlie's Angels,2000,McG,"Cameron Diaz, Sam Rockwell, Luke Wilson, Kelly Lynch, Crispin Glover, Tim Curry, Bill Murray, Lucy Liu, Drew Barrymore, John Forsythe"
Insidious,2011,James Wan,"Patrick Wilson, Rose Byrne, Barbara Hershey, Ty Simpkins, Andrew Astor, Lin Shaye, Leigh Whannell, Angus Sampson"
Source Code,2011,Duncan Jones,"Jake Gyllenhaal, Michelle Monaghan, Vera Farmiga, Jeffrey Wright, Michael Arden"
Sucker Punch,2011,Zack Snyder,"Emily Browning, Abbie Cornish, Jena Malone, Vanessa Hudgens, Jamie Chung, Carla Gugino, Oscar Isaac, Jon Hamm, Scott Glenn"
Paul,2011,Greg Mottola,"Simon Pegg, David Koechner, John Carroll Lynch, Sigourney Weaver, Kristin Wiig, Bill Hader, Jason Bateman, Seth Rogan (voice), Nick Frost, Joe Lo Truglio"
Limitless,2011,Neil Burger,"Bradley Cooper, Abbie Cornish, Robert DeNiro, Anna Friel, Johnny Whitworth, Andrew Howard"
"Lincoln Lawyer, The",2011,Brad Furman,"Matthew McConaughey, Marisa Tomei, Ryan Phillippe, William H. Macy, Josh Lucas, John Leguizamo, Michael Pena, Bob Gunton, Frances Fisher"
Jane Eyre,2011,Cary Fukunaga,"Mia Wasikowska, Michael Fassbender, Judi Dench, Jamie Bell, Amelia Clarkson, Sally Hawkins, Holliday Grainger, Tamzin Merchant"
Red Riding Hood,2011,Catherine Hardwicke,"Amanda Seyfried, Gary Oldman, Billy Burke, Shiloh Fernandez, Max Irons, Virginia Madsen, Lukas Haas, Julie Christie"
Battle Los Angeles,2011,Jonathan Liebesman,"Aaron Eckhart, Ramon Rodriguez, Ne-You, Bridget Moynahan, Michael Pena, Michelle Rodriguez"
Rango,2011,Gore Verbinski,"(voices) Johnny Depp, Timothy Olyphant, Harry Dean Stanton, Stephen Root, Bill Nighy, Alfred Molina, Ned Beatty, Abigail Breslin, Isla Fisher, Ray Winstone"
Cruella,2021,Craig Gillespie,"Emma Stone, Emma Thompson, Joel Fry, Paul Walter Hauser, John McCrea, Emily Beecham, Mark Strong, Kayvan Novak, Kirby Howell-Baptiste"
"Quiet Place Part II, A",2021,John Krasinski,"Emily Blunt, Millicent Simmonds, Noah Jupe, Cillian Murphy, Djimon Hounsou, Scoot McNairy, John Krasinski, Dean Woodward"
Final Account,2021,Luke Holland,"Karl Hollander, Otto-Ernst Duscheleit, Hans Werk, Marianne Chantelau, Klaus Kleinau, Heinrich Schulze, Herbert Fuchs, Karl-Heinz Rinne, Margarete Schwartz, Franz Spalek, Herman Knoth, Friedrich Eder"
Army of the Dead,2021,Zack Snyder,"Dave Bautista, Ella Purnell, Ana de la Reguera, Omari Hardwick, Matthias Schweighofer, Tig Notaro, Raul Castillo, Samantha Win, Theo Rossi, Garret Dillahunt, Nora Arnezeder, Hiroyuki Sanada"
"Woman in the Window, The",2021,Joe Wright,"Amy Adams, Gary Oldman, Julianne Moore, Jennifer Jason Leigh, Fred Hechinger, Wyatt Russell, Bryan Tyree Henry, Jeanine Serralles, Anthony Mackie, Mariah Bozeman"
Spiral,2021,Darren Lynn Bousman,"Chris Rock, Samuel L. Jackson, Max Minghella, Marisol Nichols"
Those Who Wish Me Dead,2021,Taylor Sheridan,"Angelina Jolie, Finn Little, Aidan Gillen, Nicholas Hoult, Jon Bernthal, Medina Senghore, Jake Weber"
Profile,2021,Timur Bekmambetov,"Valene Kane, Shazad Latif, Christine Adams, Amir Rahimzadeh, Morgan Watkins, Emma Cater"
Oxygen,2021,Alexandre Aja,"Melanie Laurent, Mathieu Amalric"
Wrath of Man,2021,Guy Ritchie,"Jason Statham, Holt McCallany, Rocci Williams, Josh Hartnett, Jeffrey Donovan, Scott Eastwood, Andy Garcia, Eddie Marsan, Niamh Algar"
Raging Bull,,Martin Scorsese,"Robert De Niro, Joe Pesci, Frank Vincent, Cathy Moriarty, Nicholas Colasanto"
"Kingdom, The",2007,Peter Berg,"Jamie Foxx, Jennifer Garner, Jason Bateman, Chris Cooper, Richard Jenkins, Jeremy Piven, Ashraf Barhom"
"Fantastic Four, The",2005,Tim Story,"Ioan Gruffudd, Michael Chiklis, Jessica Alba, Chris Evans, Julian McMahon, Kerry Washington"
Volver,2006,Pedro Almodovar,"Penelope Cruz, Carmen Maura, Lola Duenas, Blanca Portillo, Yohana Cobo"
Eternal,2005,"Wilhelm Liebenberg, Federico Sanchez","Caroline Néron, Conrad Pla, Victoria Sanchez, Ilona Elkin, Liane Balaban"
Mad Love,1995,Antonia Bird,"Chris O'Donnell, Drew Barrymore, Kevin Dunn, Joan Allen, Jude Ciccolella"
Taxi Driver,,Martin Scorsese,"Robert De Niro, Jodie Foster, Albert Brooks, Harvey Keitel, Leonard Harris, Cybill Shepherd"
La Vie en Rose,2007,Olivier Dahan,"Marion Cotillard, Sylvie Testud, Jean-Pierre Martins, Emmanuelle Seigner, Jean-Paul Rouve, Gérard Depardieu"
Hostel,2006,Eli Roth,"Jay Hernandez, Derek Richardson, Eythor Gudjonsson, Barbara Nedeljakova, Jana Kaderabkova, Jan Vlasák, Jennifer Lim"
Water,2006,Deepa Mehta,"Lisa Ray, Seema Biswas, Sarala, John Abraham, Manorama, Raghubir Yadav, Vidula Javalgekar"
"Hand of God, The",2021,Paolo Sorrentino,"Filippo Scotti, Toni Servillo, Teresa Saponangelo, Marlon Joubert, Luisa Ranieri, Renato Carpentieri, Massimiliano Gallo, Betty Pedrazzi"
West Side Story,2021,Steven Spielberg,"Ansel Elgort, Rachel Zegler, Ariana DeBose, David Alvarez, Mike Faist, Rita Moreno, Brian d’Arcy James, Corey Stoll, Josh Andres Rivera, Iris Menas"
National Champions,2021,Ric Roman Waugh,"Stephan James, J.K. Simmons, Alexander Ludwig, Lil Rel Howery, Tim Blake Nelson, Andrew Bachelor, Jeffrey Donovan, David Koechner, Kristin Chenoweth, Timothy Olyphant, Uzo Aduba"
Being the Ricardos,2021,Aaron Sorkin,"Nicole Kidman, Javier Bardem, Nina Arianda, J.K. Simmons, Alia Shawkat, Jake Lacy, Tony Hale"
Benedetta,2022,Paul Verhoeven,"Virginie Efira, Charlotte Rampling, Daphne Patakia, Lambert Wilson, Olivier Rabourdin, Louise Chevillotte"
"Power of the Dog, The",2021,Jane Campion,"Benedict Cumberbatch, Kirsten Dunst, Jesse Plemons, Kodi Smit-McPhee"
Wolf,2021,Nathalie Biancheri,"George MacKay, Lily-Rose Depp, Paddy Considine, Eileen Walsh"
Superman III,1983,Richard Lester,"Christopher Reeve, Richard Pryor, Robert Vaughn, Annette O’Toole, Jackie Cooper, Marc McClure, Annie Ross, Pamela Stephenson, Gavan O’Herlihy, Margot Kidder"
House of Gucci,2021,Ridley Scott,
Encanto,2021,"Jared Bush, Byron Howard","Stephanie Beatriz, Ravi Cabot-Conyers, Rhenzy Feliz, Wilmer Valderrama, Diane Guerrero, Carolina Gaitan, Angie Cepeda, Jessica Darrow, Mauro Castillo, John Leguizamo, Maria Cecilia Botero, Adassa"
"Swan, The",2018,Asa Helga Hjorleifsdottir,"Grima Valsdottir, Thor Kristjansson, Puridur Blaer Johannsdottir, Ingvar Eggert Sigurdsson, Katla M. Porgeirsdottir"
Mile 22,2018,Peter Berg,"Mark Wahlberg, Lauren Cohan, Iko Uwais, John Malkovich, Ronda Rousey, Carlo Alban, Sam Medina"
What's Up Doc?,1972,Peter Bogdanovich,"Barbara Streisand, Mabel Albertson, Michael Murphy, John Hillerman, Liam Dunn, Austin Pendleton, Kenneth Mars, Madeline Kahn, Ryan O’Neal, Randy Quaid"
Crazy Rich Asians,2018,Jon M. Chu,"Constance Wu, Henry Golding, Michelle Yeoh, Gemma Chan, Awkwafina, Ken Jeong, Sonoya Mizuno"
Never Goin' Back,2018,Augustine Frizzell,"Maia Mitchell, Camila Morrone, Kyle Mooney, Joel Allen"
"Meg, The",2018,Jon Turteltaub,"Jason Statham, Page Kennedy, Robert Taylor, Jessica McNamee, Winston Chao, Ruby Rose, Cliff Curtis, Rainn Wilson, Li Bingbing, Olafur Darri Olafsson"
BlacKkKlansman,2018,Spike Lee,": John David Washington, Adam Driver, Laura Harrier, Michael Buscemi, Robert John Burke, Topher Grace, Jasper Paakkonen, Ryan Eggold, Alec Baldwin"
"Spy Who Dumped Me, The",2018,Susanna Fogel,"Mila Kunis, Kate McKinnon, Justin Theroux, Sam Heughan, Hasan Minhaj, Gillian Anderson, Paul Reiser, Jane Curtin, Ivanna Sakhno"
"Darkest Minds, The",2018,Jennifer Yuh Nelson,"Amandla Stenberg, Harris Dickinson, Skylan Brooks, Miya Cech, Mandy Moore, Gwendoline Christie, Patrick Gibson, Bradley Whitford"
Sin Reaper,2013,Sebastian Bartolitius,"Helen Mutch, Lance Henriksen, Hazuki Kato, Patrick J. Thomas, Paulina Bachman, Adrian Rolf Tauss, Andrew James Porter, Nicolai Tegeler, Nico Sentner"
"Color of Money, The",1986,Martin Scorsese,"Paul Newman, Tom Cruise, Mary Elizabeth Mastrantonio, Helen Shaver, John Turturro, Bill Cobbs"
"Sure Thing, The",1985,Rob Reiner,"John Cusack, Daphne Zuniga, Anthony Edwards, Nicollette Sheridan, Viveca Lindfors, Tim Robbins, Lisa Jane Persky"
"Hangover, The",2009,Todd Phillips,"Bradley Cooper, Ed Helms, Zach Galifianakis, Justin Bartha, Heather Graham, Sasha Barrese"
My Life in Ruins,2009,Donald Petrie,"Nia Vardalos, Richard Dreyfuss, Alexis Georgoulis, Alistair McGowan, Harland Williams, Rachel Dratch, Caroline Goodall"
Land of the Lost,2009,Brad Silberling,"Will Ferrell, Anna Friel, Danny McBride, Jorma Taccone, John Boylan"
Away We Go,2009,Sam Mendes,"John Krasinski, Melanie Lynskey, Chris Messina, Josh Hamilton, Maggie Gyllenhaal, Carmen Ejogo, Jim Gaffigan, Allison Janney, Catherine O'Hara, Jeff Daniels, Maya Rudolph, Paul Schneider"
Kiss of the Spider Woman,1985,Hector Babenco,"William Hurt, Raul Julia, Sonia Braga"
Out of Africa,1985,Sydney Pollack,"Meryl Streep, Robert Redford, Klaus Maria Brandauer, Michael Kitchen"
Drag Me to Hell,2009,Sam Raimi,"Alison Lohman, Justin Long, Lorna Raver, Dileep Rao, David Paymer, Adriana Barazza"
Up,2009,"Pete Docter, Bob Peterson","(voices) Edward Asner, Christopher Plummer, Jordan Nagai, Bob Peterson, Delroy Lindo, Jerome Ranft"
"War of the Roses, The",1989,Danny DeVito,"Michael Douglas, Kathleen Turner, Danny DeVito"
Halloween II,2009,Rob Zombie,"Scout Taylor-Compton, Tyler Mane, Malcolm McDowell, Danielle Harris, Brad Dourif, Sheri Moon Zombie, Chase Wright Vanek, Bea Grant"
Big Fan,2009,Robert D. Siegel,"Patton Oswalt, Kevin Corrigan, Michael Rapaport, Marcia Jean Kurtz, Gino Cafarelli, Matt Servito, Jonathan Hamm"
Taking Woodstock,2009,Ang Lee,"Demetri Martin, Paul Dano, Mamie Gummer, Jonathan Groff, Liev Schreiber, Eugene Levy, Emile Hirsch, Henry Goodman, Imelda Staunton, Kelli Garner"
Born on the Fourth of July,1989,Oliver Stone,"Tom Cruise, Raymond J. Barry, Caroline Kava, Kyra Sedgwick, Frank Whaley, Jerry Levine, Willem Dafoe"
Post Grad,2009,Vicky Jenson,"Alexis Bledel, Zach Gilford, Michael Keaton, Jane Lynch, Bobby Coleman, Carol Burnett, Rodrigo Santoro"
Inglourious Basterds,2009,Quentin Tarantino,"Brad Pitt, B.J. Novak, Til Schweiger, Daniel Bruhl, Diane Kruger, Michael Fassbender, Eli Roth, Christoph Waltz, Melanie Laurent, Omar Doom"
"Abyss, The",1989,James Cameron,"Ed Harris, Capt. Kidd Brewer Jr., Kimberly Scott, J.C. Quinn, John Bedford Lloyd, Todd Graff, Leo Burmester, Michael Biehn, Mary Elizabeth Mastrantonio, George Robert Klek"
Ponyo,2009,Hayao Miyazaki,"(voices) Frankie Jonas, Lily Tomlin, Jennessa Rose, Cloris Leachman, Cate Blanchett, Liam Neeson, Matt Damon, Tina Fey, Noah Lindsey Cyrus, Betty White"
"Time Traveler's Wife, The",2009,Robert Schwentke,"Eric Bana, Rachel McAdams, Jane McLean, Ron Livingston, Stephen Tobolowsky"
Absolutely Fabulous - The Movie,2016,Mandie Fletcher,"Jennifer Saunders, Joanna Lumley, Julie Sawalha, June Whitfield, Jane Horrocks"
Ghostbusters,2016,Paul Feig,"Melissa McCarthy, Kristen Wiig, Kate McKinnon, Leslie Jones, Chris Hemsworth"
"Infiltrator, The",2016,Brad Furman,"Bryan Cranston, Benjamin Bratt, John Leguizamo, Diane Kruger, Juliet Aubrey, Elena Anaya, Amy Ryan"
"Secret Life of Pets, The",2016,"Chris Renaud, Yarrow Cheney","Louis C.K., Eric Stonestreet, Kevin Hart, Jenny Slate, Albert Brooks, Lake Bell, Dana Carvey, Ellie Kemper"
Mike and Dave Need Wedding Dates,2016,Jake Szymanski,"Zac Efron, Adam Devine, Anna Kendrick, Aubrey Plaza, Stephen Root, Stephanie Faracy, Sugar Lyn Beard"
"Legend of Tarzan, The",2016,David Yates,"Alexander Skarsgård, Margot Robbie, Samuel L. Jackson, Christoph Waltz, Djimon Hounsou, Jim Broadbent"
"BFG, The",2016,Steven Spielberg,"Ruby Barnhill, Mark Rylance, Penelope Wilton, Rebecca Hall, Bill Hader, Jermaine Clement"
"Purge, The: Election Year",2016,James DeMonaco,"Frank Grillo, Elizabeth Mitchell, Mykelti Williamson, Edwin Hodge, Joseph Julian Soria, Betty Gabriel, Kyle Secor"
Independence Day: Resurgence,2016,Roland Emmerich,"Liam Hemsworth, Jeff Goldblum, Jessie T. Usher, Bill Pullman, Maika Monroe, Sela Ward, William Fichtner, Judd Hirsch, Brent Spiner, Charlotte Gainsbourg"
"Neon Demon, The",2016,Nicolas Winding Refn,"Elle Fanning, Jena Malone, Bella Heathcote, Abbey Lee, Keanu Reeves"
Violent Night,2023,Tommy Wirkola,"David Harbour, Beverly D’Angelo, John Leguizamo, Cam Gigandet, Edi Patterson, Alex Hassell, Alexis Louder, Leah Brady, Mike Dopud"
Lady Chatterley's Lover,2022,Laure de Clermont-Tonnerre,"Emma Corrin, Jack O’Connell, Matthew Duckett, Joely Richardson, Faye Marsay"
"Son, The",2023,Florian Zeller,"Hugh Jackman, Laura Dern, Zen McGrath, Vanessa Kirby, Anthony Hopkins, Hugh Quarshie"
Glass Onion,2022,Rian Johnson,"Daniel Craig, Edward Norton, Janelle Monae, Kathryn Hahn, Leslie Odom Jr., Kate Hudson, Dave Bautista, Jessica Henwick, Madelyn Cline"
Bones and All,2023,Luca Guadagnino,"Taylor Russell, Timothee Chalamet, Mark Rylance, Andre Holland, Anna Cobb, Chloë Sevigny"
"Fabelmans, The",2023,Steven Spielberg,"Gabriel LaBelle, Chloe East, Oakes Fegley, Sam Rechner, Judd Hirsch, Mateo Zoryon Francis-DeFord, Seth Rogen, Paul Dano, Michelle Williams, David Lynch"
She Said,2023,Maria Schrader,"Carey Mulligan, Zoe Kazan, Patricia Clarkson, Andre Braugher, Jennifer Ehle, Samantha Morton, Ashley Judd"
"Menu, The",2023,Mark Mylod,"Ralph Fiennes, Hong Chau, Rob Yang, Mark St. Cyr, Arturo Castro, Judith Light, Reed Birney, Paul Adelstein, Janet McTeer, Aimee Carrero, John Leguizamo, Nicholas Hoult, Anya Taylor-Joy, Rebecca Koon"
"Wonder, The",2022,Sebastian Lelio,"Florence Pugh, Kila Lord Cassidy, Tom Burke, Elaine Cassidy, Caolan Byrne, Toby Jones, Ciaran Hinds"
Black Panther: Wakanda Forever,2023,Ryan Coogler,"Tenoch Huerta, Letitia Wright, Angela Bassett, Lupita Nyong’o, Winston Duke, Martin Freeman, Dominique Thorne, Julia Louis-Dreyfus"
Deep Impact,1998,Mimi Leder,"Robert Duvall, Tea Leoni, Elijah Wood, Vanessa Redgrave, Maximilian Schell, Morgan Freeman, Leelee Sobieski, James Cromwell"
"Astronaut Farmer, The",2007,Michael Polish,"Billy Bob Thornton, Virginia Madsen, Max Thieriot, Jasper Polish Logan Polish, Bruce Dern, J.K. Simmons, Bruce Willis"
Prom Night,2008,Nelson McCormick,"Brittany Snow, Scott Porter, Jessica Stroup, Dana Davis, Collins Pennie, Kelly Blatz, Idris Elba, Johnathon Schaech"
Grizzly Man,2005,Werner Herzog,Timothy Treadwell
Hellboy,2004,Guillermo del Toro,"Ron Perlman, Selma Blair, Jeffrey Tambor, Karel Roden, Rupert Evans, John Hurt, Doug Jones, David Hyde Pierce (voice)"
Congo,1995,Frank Marshall,"Laura Linney, Dylan Walsh, Ernie Hudson, Tim Curry, Grant Heslov, Joe Don Baker, Bruce Campbell"
I Am Sam,2001,Jessie Nelson,"Sean Penn, Michelle Pfeiffer, Dakota Fanning, Dianne Wiest, Loretta Devine, Laura Dern"
Armageddon,1998,Michael Bay,"Bruce Willis, Michael Duncan, Keith David, Peter Stormare, Owen Wilson, Steve Buscemi, Will Patton, Ben Affleck, Liv Tyler, Billy Bob Thornton, William Fichtner"
Avenue Montaigne,2007,Daniéle Thompson,"Cécil De France, Valérie Lemercier, Albert Dupontel, Laura Morante, Claude Brasseur, Christopher Thompson, Dan, Annelise Hesme, Sydney Pollack"
Smart People,2008,Noam Murro,"Dennis Quaid, Sarah Jessica Parker, Thomas Haden Church, Ellen Page, Ashton Holmes"
"Change-Up, The",2011,David Dobkin,"Ryan Reynolds, Jason Bateman, Leslie Mann, Olivia Wilde, Alan Arkin, Gergory Itzin"
"Crazy, Stupid, Love.",2011,"Glenn Ficarra, John Requa","Steve Carell, Ryan Gosling, Julianne Moore, Emma Stone, Analeigh Tipton, Jonah Bobo, Marisa Tomei, Kevin Bacon"
Cowboys &amp; Aliens,2011,Jon Favreau,"Daniel Craig, Harrison Ford, Olivia Wilde, Sam Rockwell, Clancy Brown, Adam Beach, Paul Dano, Keith Carradine"
Captain America: The First Avenger,2011,Joe Johnston,"Chris Evans, Tommy Lee Jones, Hugo Weaving, Hayley Atwell, Sebastian Stan, Dominic Cooper, Stanley Tucci, Toby Jones"
Terri,2011,Azazel Jacobs,"Jacob Wysocki, John C. Reilly, Bridger Zadina, Olivia Crocicchia, Credd Bratton"
Friends with Benefits,2011,Will Gluck,"Justin Timberlake, Mila Kunis, Patricia Clarkson, Richard Jenkins, Woody Harrelson, Jenna Elfman"
Tabloid,2011,Errol Morris,Joyce McKinney
Harry Potter and the Deathly Hallows Part 2,2011,David Yates,"Daniel Radcliffe, Helena Bonham Carter, Evanna Lynch, Alan Rickman, Michael Gambon, Ralph Fiennes, Bonnie Wright, Emma Watson, Rupert Grint, Tom Felton"
Horrible Bosses,2011,Seth Gordon,"Jason Bateman, Charlie Day, Jason Sudeikis, Kevin Spacey, Jennifer Aniston, Colin Farrell, Donald Sutherland, Jamie Foxx"
Zookeeper,2011,Frank Coraci,"Kevin James, Rosario Dawson, Leslie Bibb, Ken Jeong, Donnie Wahlberg, Joe Rogan"
Noble House,1988,Gary Nelson,"Pierce Brosnan, Deborah Raffin, Ben Masters, John Rhys-Davies, Julia Nickson, Khigh Dhiegh, Gordon Jackson, Burt Kwouk, Ping Wu, Kay Tong Lim, Tia Carrere, Edward Petherbridge, John Houseman, Denholm Elliott"
"Lego Movie 2, The: The Second Part",2019,Mike Mitchell,"Chris Pratt, Elizabeth Banks, Will Arnett, Tiffany Haddish, Stephanie Beatriz, Alison Brie, Nick Offerman, Charlie Day, Maya Rudolph, Will Ferrell"
Cold Pursuit,2019,Hans Petter Moland,"Liam Neeson, Domenick Lombardozzi, William Forsythe, Emmy Rossum, John Doman, Julia Jones, Laura Dern, Tom Jackson, Tom Bateman, Nicholas Holmes"
What Men Want,2019,Adam Shankman,"Taraji P. Henson, Josh Brener, Tracy Morgan, Aldis Hodge, Richard Roundtree, Brian Bosworth, Shane Paul McGhie, Erykah Badu, Max Greenfield"
Untogether,2019,Emma Forrest,"Jemima Kirke, Lola Kirke, Jamie Dornan, Ben Mendelsohn, Billy Crystal, Jennifer Grey, Alice Eve, Scott Caan"
Miss Bala,2019,Catherine Hardwicke,"Gina Rodriguez, Ismael Cruz Cordova, Cristina Rodlo, Damian Alcazar, Anthony Mackie"
"Night of the Hunter, The",,Charles Laughton,"Robert Mitchum, Shelley Winters, Lillian Gish, Billy Chapin, Sally Jane Bruce"
Piercing,2019,Nicolas Pesce,"Christopher Abbott, Mia Wasikowska, Laia Costa"
"Man for All Seasons, A",,Fred Zinnemann,"Paul Scofield, Wendy Hiller, Leo McKern, Robert Shaw, Orson Welles, Susannah York, Nigel Davenport, John Hurt"
Serenity,2019,Steven Knight,"Matthew McConaughey, Anne Hathaway, Diane Lane, Jason Clarke, Djimon Hounsou, Jeremy Strong, Rafael Sayegh"
"Dark Knight, The",2008,Christopher Nolan,"Christian Bale, Heath Ledger, Michael Caine, Aaron Eckhart, Gary Oldman, Maggie Gyllenhaal, Morgan Freeman, Cillian Murphy, Eric Roberts"
"Object of My Affection, The",1998,Nicholas Hytner,"Jennifer Aniston, Paul Rudd, John Pankow, Timothy Daly, Amo Gulinello, Allison Janney, Alan Alda, Nigel Hawthorne"
Three Colors: Blue,,Krzysztof Kieslowski,"Juliette Binoche, Benoit Regent, Florence Pernel, Charlotte Very"
Die Hard 2,,Renny Harlin,"Bruce Willis, William Sadler, John Amos, Dennis Franz, Fred Dalton Thomas, Art Evans, Bonnie Bedelia, William Atherton"
Rush Hour 2,2001,Brett Ratner,"Jackie Chan, Chris Tucker, Roselyn Sanchez, John Lone, Zhang Ziyi, Alan King"
Million Dollar Baby,2004,Clint Eastwood,"Clint Eastwood, Hilary Swank, Morgan Freeman"
Mamma Mia!,2008,Phyllida Lloyd,"Meryl Streep, Amanda Seyfried, Pierce Brosnan, Colin Firth, Stellan Skarsgård, Dominic Cooper, Julie Walters, Christine Baranski"
You've Got Mail,1998,Nora Ephron,"Tom Hanks, Meg Ryan, Greg Kinnear, David Chappelle, Dabney Coleman, Parker Posey, Jean Stapleton, Steve Zahn"
Richard III,1995,Richard Loncraine,"Ian McKellan, Edward Hardwicke, Nigel Hawthorne, Robert Downey Jr., Maggie Smith, John Wood, Kristin Scott-Thomas, Annette Bening, Jim Broadbent, Jim Carter"
Napoleon Dynamite,2004,Jared Hess,"Jon Heder, Efren Ramirez, Jon Gries, Aaron Ruell, Tina Majorino, Haylie Duff"
Judy,2019,Rupert Goold,"Renee Zellweger, Jessie Buckley, Finn Wittrock, Rufus Sewell, Michael Gambon, Bella Ramsey, Royce Pierreson"
Kramer vs. Kramer,1979,Robert Benton,"Dustin Hoffman, Meryl Streep, Jane Alexander, Justin Henry, Howard Duff, George Coe, JoBeth Williams"
"Man Escaped, A",,Robert Bresson,"Francois Leterrier, Charles Le Clainche, Maurice Beerblock, Roland Monod, Jacques Ertaud"
Rambo: Last Blood,2019,Adrian Grunberg,"Sylvester Stallone, Yvette Monreal, Paz Vega, Adriana Barraza, Oscar Jaenada, Sergio Peris-Mencheta"
Ad Astra,2019,James Gray,"Brad Pitt, Tommy Lee Jones, Donald Sutherland, Ruth Negga"
Downton Abbey,2019,Michael Engler,"Hugh Bonneville, Michelle Dockery, Maggie Smith, Elizabeth McGovern, Laura Carmichael, Allen Leech, Jim Carter, Phyllis Logan, Robert James-Collier, Sophie McShera, Penelope Wilton, Imelda Staunton, Tuppence Middleton"
Hustlers,2019,Lorene Scafaria,"Constance Wu, Jennifer Lopez, Keke Palmer, Lili Reinhart, Julia Stiles, Cardi B, Madeline Brewer"
"Goldfinch, The",2019,John Crowley,"Ansel Elgort, Willa Fitzgerald, Ashleigh Cummings, Aneurin Barnard, Finn Wolfhard, Sarah Paulson, Luke Wilson, Nicole Kidman, Jeffrey Wright, Oakes Fegley, Peter Jacobson"
It: Chapter 2,2019,Andy Muschietti,"James McAvoy, Jessica Chastain, Bill Hader, Isaiah Mustafa, Jay Ryan, James Ransone, Andy Bean, Bill Skarsgard"
Don't Let Go,2019,Jacob Estes,"David Oyelowo, Storm Reid, Mykelti Williamson, Alfred Molina, Brian Tyree Henry, Shinelle Azoroh"
Vukovar,,Boro Draskovic,"Mirjana Jokovic, Boris Isakovic"
Wild Reeds,,Andre Téchiné,"Elodie Bouchez, Gael Morel, Stephane Rideau, Frederic Gorny, Michele Moretti, Jacques Nolot"
Mrs. Brown,1997,John Madden,"Judi Dench, Billy Connolly, Geoffrey Palmer, Richard Pasco, Anthony Sher, David Westhead, Gerard Butler"
